,time,payload,routing_key
0,2024-10-03 20:26:10.984000+00:00,8.0,Status
1,2024-10-03 20:26:10.984000+00:00,510.0,Stapnr
2,2024-10-03 20:26:12.445000+00:00,4.918848,Conductivity
3,2024-10-03 20:26:13.945000+00:00,0.578688,Conductivity
4,2024-10-03 20:26:14.459000+00:00,144.94977,Temperature1
5,2024-10-03 20:26:14.962000+00:00,145.18124,Temperature1
6,2024-10-03 20:26:15.465000+00:00,145.45901,Temperature1
7,2024-10-03 20:26:15.961000+00:00,145.5979,Temperature1
8,2024-10-03 20:26:16.461000+00:00,146.01456,Temperature1
9,2024-10-03 20:26:16.961000+00:00,146.47751,Temperature1
10,2024-10-03 20:26:17.463000+00:00,146.80157,Temperature1
11,2024-10-03 20:26:17.963000+00:00,147.17194,Temperature1
12,2024-10-03 20:26:18.462000+00:00,147.5423,Temperature1
13,2024-10-03 20:26:18.962000+00:00,147.95894,Temperature1
14,2024-10-03 20:26:19.470000+00:00,148.19041,Temperature1
15,2024-10-03 20:26:19.962000+00:00,148.46819,Temperature1
16,2024-10-03 20:26:20+00:00,0.0,Heartbeat
17,2024-10-03 20:26:20.468000+00:00,148.79225,Temperature1
18,2024-10-03 20:26:20.964000+00:00,148.93114,Temperature1
19,2024-10-03 20:26:21.479000+00:00,149.2552,Temperature1
20,2024-10-03 20:26:21.483000+00:00,142.48746,Temperature2
21,2024-10-03 20:26:21.974000+00:00,149.48668,Temperature1
22,2024-10-03 20:26:22.479000+00:00,149.71815,Temperature1
23,2024-10-03 20:26:23.484000+00:00,149.99593,Temperature1
24,2024-10-03 20:26:23.984000+00:00,150.2274,Temperature1
25,2024-10-03 20:26:24.481000+00:00,150.41258,Temperature1
26,2024-10-03 20:26:25.483000+00:00,150.64406,Temperature1
27,2024-10-03 20:26:26.486000+00:00,150.78294,Temperature1
28,2024-10-03 20:26:26.490000+00:00,142.7471,Temperature2
29,2024-10-03 20:26:26.984000+00:00,150.92183,Temperature1
30,2024-10-03 20:26:27.987000+00:00,151.2459,Temperature1
31,2024-10-03 20:26:28.486000+00:00,151.38478,Temperature1
32,2024-10-03 20:26:28.990000+00:00,143.13774,Temperature2
33,2024-10-03 20:26:29.986000+00:00,151.56996,Temperature1
34,2024-10-03 20:26:30+00:00,0.0,Heartbeat
35,2024-10-03 20:26:30.987000+00:00,151.80144,Temperature1
36,2024-10-03 20:26:31.491000+00:00,143.67007,Temperature2
37,2024-10-03 20:26:32.988000+00:00,151.94032,Temperature1
38,2024-10-03 20:26:33.990000+00:00,152.07921,Temperature1
39,2024-10-03 20:26:34.495000+00:00,144.06017,Temperature2
40,2024-10-03 20:26:37.001000+00:00,144.67004,Temperature2
41,2024-10-03 20:26:39.516000+00:00,145.05818,Temperature2
42,2024-10-03 20:26:40+00:00,0.0,Heartbeat
43,2024-10-03 20:26:40.495000+00:00,151.94032,Temperature1
44,2024-10-03 20:26:42+00:00,145.61739,Temperature2
45,2024-10-03 20:26:42.500000+00:00,151.80144,Temperature1
46,2024-10-03 20:26:43.494000+00:00,151.61626,Temperature1
47,2024-10-03 20:26:44.492000+00:00,151.47737,Temperature1
48,2024-10-03 20:26:44.496000+00:00,146.12071,Temperature2
49,2024-10-03 20:26:45.497000+00:00,151.2459,Temperature1
50,2024-10-03 20:26:46.495000+00:00,150.96812,Temperature1
51,2024-10-03 20:26:47.494000+00:00,150.78294,Temperature1
